"id","adr","cty","pr","bd","bat","sq","url"
"E4105229","7 Coe Drive","Ajax",769900,4,4,2250,"E4105229/7-coe-drive-ajax-on"
"E4105147","17 Locker Drive","Ajax",674900,3,3,NA,"E4105147/17-locker-drive-ajax-on"
"E4104691","6 Mary Street","Ajax",671790,3,2,NA,"E4104691/6-mary-street-ajax-on"
"E4104338","23 Ventura Lane","Ajax",484900,3,2,NA,"E4104338/23-ventura-lane-ajax-on"
"E4103148","63 Coe Drive","Ajax",729000,4,4,2250,"E4103148/63-coe-drive-ajax-on"
"E4102770","49 Glynn Road","Ajax",560000,3,2,1300,"E4102770/49-glynn-road-ajax-on"
"E4100518","56 Longstaff Drive","Ajax",569900,3,3,NA,"E4100518/56-longstaff-drive-ajax-on"
"E4098046","39-62 Abela Lane","Ajax",449900,4,2,1100,"E4098046/39-62-abela-lane-ajax-on"
"E4097020","33 Noake Crescent","Ajax",599000,3,3,NA,"E4097020/33-noake-crescent-ajax-on"
"E4095659","28 George Street","Ajax",430000,2,2,NA,"E4095659/28-george-street-ajax-on"
"E4096200","35 Bondsmith Street","Ajax",649900,3,3,1750,"E4096200/35-bondsmith-street-ajax-on"
"E4096839","62-76 Harwood Avenue","Ajax",849900,4,4,2250,"E4096839/62-76-harwood-avenue-ajax-on"
"E4094242","13 Chadwick Drive","Ajax",719900,4,4,2250,"E4094242/13-chadwick-drive-ajax-on"
"E4095595","24 Perfitt Crescent","Ajax",699900,3,3,NA,"E4095595/24-perfitt-crescent-ajax-on"
"E4091671","16 Pennefather Lane","Ajax",475000,3,2,1500,"E4091671/16-pennefather-lane-ajax-on"
"E4094084","69 Perfitt Crescent","Ajax",689900,3,4,1750,"E4094084/69-perfitt-crescent-ajax-on"
"E4093112","18 Mcgonigal Lane","Ajax",480000,3,2,1300,"E4093112/18-mcgonigal-lane-ajax-on"
"E4092285","30 Keeble Crescent","Ajax",929900,4,5,2250,"E4092285/30-keeble-crescent-ajax-on"
"E4076844","26 Holmes Crescent","Ajax",739900,5,4,2750,"E4076844/26-holmes-crescent-ajax-on"
"E4072771","710-167 Harwood Avenue","Ajax",299900,1,2,550,"E4072771/710-167-harwood-avenue-ajax-on"
"E4092768","27 Trowell Lane","Ajax",529900,3,2,1300,"E4092768/27-trowell-lane-ajax-on"
"E4090367","24 Gidley Lane","Ajax",569900,2,2,1500,"E4090367/24-gidley-lane-ajax-on"
"E4086975","32 Parkins Drive","Ajax",699800,4,4,NA,"E4086975/32-parkins-drive-ajax-on"
"E4087135","90 Hibbard Drive","Ajax",939888,5,4,2750,"E4087135/90-hibbard-drive-ajax-on"
"E4083851","7 Parkins Drive","Ajax",759900,4,5,NA,"E4083851/7-parkins-drive-ajax-on"
"E4083701","46 Dominy Drive","Ajax",999000,4,4,3250,"E4083701/46-dominy-drive-ajax-on"
"E4084809","69 Mandrake Street","Ajax",635999,3,3,NA,"E4084809/69-mandrake-street-ajax-on"
"E4083808","10 Atkinson Court","Ajax",724900,4,3,NA,"E4083808/10-atkinson-court-ajax-on"
"E4081732","86 Monk Crescent","Ajax",699000,3,3,1750,"E4081732/86-monk-crescent-ajax-on"
"E4081547","35 E Chadwick Drive","Ajax",950000,4,6,2750,"E4081547/35-e-chadwick-drive-ajax-on"
"E4081372","126 Fletcher Avenue","Ajax",799000,5,4,NA,"E4081372/126-fletcher-avenue-ajax-on"
"E4053850","15 Coomer Crescent","Ajax",1349900,4,5,4250,"E4053850/15-coomer-crescent-ajax-on"
"E4049247","8 Blake Court","Ajax",799000,4,4,2250,"E4049247/8-blake-court-ajax-on"
"E4018386","10 Blackburn Crescent","Ajax",639000,3,3,NA,"E4018386/10-blackburn-crescent-ajax-on"
"E4011554","25 Mandrake Street","Ajax",350000,0,0,0,"E4011554/25-mandrake-street-ajax-on"
