Date,Composite_HPI,Single_Family_HPI,One_Storey_HPI,Two_Storey_HPI,Townhouse_HPI,Apartment_HPI,Composite_Benchmark,Single_Family_Benchmark,One_Storey_Benchmark,Two_Storey_Benchmark,Townhouse_Benchmark,Apartment_Benchmark
Jan 2005,100,100,100,100,100,100,304000,344600,304900,358400,221900,199800
Feb 2005,100.9,101.2,101.7,101.1,100.2,100.1,306700,348700,310100,362300,222300,200000
Mar 2005,101.9,102.4,102.3,102.4,100.6,100.7,309700,352800,312000,367000,223200,201200
Apr 2005,102.7,103.3,103.4,103.3,101.3,101.2,312200,356000,315300,370200,224700,202200
May 2005,103.5,104.1,104.7,103.9,101.9,102.1,314600,358700,319300,372400,226100,204000
Jun 2005,104,104.6,104.6,104.5,102.7,102.4,316100,360400,319000,374500,227800,204600
Jul 2005,104.1,104.7,104.8,104.6,103,102.8,316400,360800,319600,374900,228500,205400
Aug 2005,104.4,104.9,105.6,104.7,103.3,103.1,317300,361500,322000,375200,229200,206000
Sep 2005,104.7,105.2,105.9,104.9,103.8,103.6,318300,362500,322900,376000,230300,207000
Oct 2005,105.1,105.6,106.3,105.4,104.1,103.7,319500,363900,324200,377700,231000,207200
Nov 2005,105.2,105.8,106,105.8,104.2,103.5,319800,364600,323200,379200,231200,206800
Dec 2005,105.3,105.6,106,105.4,104.5,104.9,320100,363900,323200,377700,231800,209600
Jan 2006,105.9,106.3,106.3,106.3,104.5,104.9,321900,366300,324200,381000,231800,209600
Feb 2006,106.7,107.3,107.4,107.2,104.7,105.8,324300,369700,327500,384200,232300,211400
Mar 2006,107.8,108.6,109.2,108.4,105.7,106.1,327700,374200,333000,388500,234500,212000
Apr 2006,108.7,109.5,109.6,109.5,106.7,107.1,330400,377300,334200,392400,236700,214000
May 2006,109.4,110.3,110.9,110.1,107.2,107.2,332500,380100,338200,394600,237800,214200
Jun 2006,109.3,110.1,110.8,109.9,107.7,107.4,332200,379400,337900,393900,238900,214600
Jul 2006,109.3,109.9,110.7,109.6,108.2,107.7,332200,378700,337600,392800,240000,215200
Aug 2006,109.2,109.7,110.5,109.5,108.3,107.6,331900,378000,337000,392400,240300,215000
Sep 2006,109.4,109.8,110,109.7,108.6,108.4,332500,378300,335400,393200,240900,216600
Oct 2006,109.4,109.8,110.1,109.7,108.7,108.3,332500,378300,335700,393200,241200,216400
Nov 2006,109.4,109.6,110.2,109.4,109.2,108.9,332500,377700,336100,392100,242300,217600
Dec 2006,109,109.4,110.1,109.2,109.2,107.5,331300,377000,335700,391400,242300,214800
Jan 2007,109.5,109.9,110.3,109.7,109,108.3,332800,378700,336400,393200,241800,216400
Feb 2007,110.9,111.5,111.9,111.4,110,109.2,337100,384200,341200,399200,244000,218200
Mar 2007,112.1,112.8,113,112.7,110.4,110.7,340700,388700,344600,403900,244900,221200
Apr 2007,113.3,113.9,114.4,113.8,111.5,112,344400,392500,348900,407800,247400,223800
May 2007,114.5,115,115.6,114.9,112.8,113.3,348000,396300,352500,411800,250300,226400
Jun 2007,115.4,116.2,116.7,116,113.8,113.8,350800,400400,355900,415700,252500,227400
Jul 2007,116,116.5,117.2,116.3,114.3,114.8,352600,401400,357400,416800,253600,229400
Aug 2007,116.4,116.8,117.5,116.5,114.8,115.7,353800,402500,358300,417500,254700,231200
